,sentence
0,"Diademed head of deified Alexander the Great with horn of Ammon, right. Border of dots."
1,"Altar, lighted and garlanded."
2,Prize amphora on ornamental stand; within linear square and incuse square.
3,Amphora with ribbed surface and crooked handles containing two ears of corn and poppy.
4,"Bust of youthful Anchialos, right, wearing taenia. Border of dots."
5,"Inverted anchor; under left fluke, crayfish, under right fluke, ethnicon."
6,"Inverted anchor; under left fluke, crayfish, under right fluke, ethnicon; all within circular incuse."
7,"Inverted anchor;  under right fluke, crayfish, under left fluke, ethnicon."
8,"Inverted anchor; under right fluke, crayfish, under left fluke, ethnicon; all within shallow incuse square."
9,"Inverted anchor; under right fluke, crayfish."
10,"Diademed head of Antiochus I Soter, right."
11,"Diademed head of Antiochus II Theos, right."
12,"Bare head of Antoninus Pius, right."
13,"Bare head of Antoninus Pius, right, with traces of aegis on left shoulder."
14,"Bare-headed bust of Antoninus Pius, right, wearing cuirass and paludamentum."
15,"Laureate and draped bust of Antoninus Pius, right."
16,"Laureate bust of Antoninus Pius, right, wearing cuirass and paludamentum."
17,"Laureate bust of Antoninus Pius, right, wearing paludamentum."
18,"Bust of Antoninus Pius, right; with aegis on left shoulder."
19,"Laureate head of Antoninus Pius, right."
20,"Radiate head of Antoninus Pius, right."
21,"Half-nude Aphrodite standing facing, head left, holding apple in raised right hand."
22,"Nude Aphrodite standing facing, head right, covering her breasts with right hand and pudenda with left hand; to left, Eros, riding a dolphin downwards."
23,"Apis-bull advancing right; head facing, a disc between the horns and an uraeus inside of it."
24,"Nude Apollo advancing right, holding arrow and drawing bow in his left hand."
25,"Nude Apollo advancing right, wearing fluttering chlamys, drawing arrow in right hand from bow in left hand."
26,"Draped bust of Apollo, right; in front, laurel-branch."
27,"Diademed head of Apollo, right."
28,"Head of Apollo, right."
29,"Laureate and draped bust of Apollo, right."
30,"Laureate and draped bust of Apollo, right; in front, palm branch."
31,Laureate head of Apollo facing.
32,"Laureate head of Apollo, right."
33,"Laureate head of Apollo, right; within incuse square."
34,"Laureate head of Apollo, right; within linear square."
35,"Laureate head of Apollo, right; scallop shell below."
36,"Apollo seated left on omphalos, holding bow in right hand."
37,"Apollo seated left on omphalos, holding bow in right hand; above lion's head right; monogram to outer right."
38,"Apollo enthroned left, holding laurel-branch in outstreched and lowered right hand and lyra set down behind him in left hand."
39,"Nude Apollo seated right on rock, playing lyre set on his left knee. Ground line."
40,"Nude Apollo standing left, holding patera in outstretched right hand and bow in left hand."
41,"Nude laureate Apollo standing right, resting right hand on hip, left resting on short garlanded column."
42,"Apollo and Artemis in front of large conical torch; to left, Apollo standing right, seen from behind, holding spear in left arm and chlamys over left shoulder clasping right hands with Artemis, to right, standing left, wearing a short chiton and boots, holding a bow in left hand."
43,"Nude Apollo standing facing, head right, wearing chlamys, holding strap of the quiver in right hand and arrow and bow in left hand."
